"school_id","school_name","school_city_n","school_state_n","school_district_n","nominator_reason_n"
"16","Avanti High School","Olympia","Washington","Olympia School District","Avanti High School stands out because it is actively redefining what school can look like: centered on equity, grounded in culturally responsive practices, and driven by mastery as a pathway to deeper understanding and student ownership. As a Washington MBLC Cohort 1 school, Avanti is not simply adjusting practices, it is reimagining the fundamental purpose and structure of schooling to ensure that every student experiences belonging, agency, and meaningful learning. Avanti’s commitment to deepening its schoolwide equity stance is evident in how it designs learning environments where students’ identities, experiences, and cultural backgrounds are recognized as assets. Their focus on improving schoolwide systems shows a deliberate effort to build structures that are both flexible and supportive, especially important in an alternative school context. By shifting from traditional time-based models to mastery-based pathways, Avanti helps students to progress through learning in ways that honor their pace, strengths, and aspirations."
"37","Citizens of the World Hollywood","Los Angeles","California",NA,"Citizens of the World Charter Schools Los Angeles (CWC LA) is a network of charter schools. The mission of CWC LA is to create an intimate network of high-achieving, community-based public schools for a diverse community of students, developing their abilities, confidence, and sense of responsibility for themselves and their community as true citizens of the world. 

COTW is an active member of Diverse Charter Schools Coalition."
"61","e3 Civic High","San Diego","California","e3 Civic High","e3 Civic High focuses on personalized, real-world learning anchored in its mission to Engage. Educate. Empower.  Students participate in design-thinking and project-based learning, with internships and civic engagement embedded into their high school experience. The school’s setting — in the downtown San Diego Central Library — provides access to advanced research resources and collaborative spaces, making school more dynamic than traditional classrooms. Graduation preparation is built-in: all scholars have college, workforce & life targets, use technology tools (e.g., MacBooks and fabrication labs), and engage in internships tied to their interests and goals."
"94","Highline Big Picture","Burien","Washington","Highline Public Schools","Highline Big Picture is deeply committed to reimagining learning through an equity-driven, student-centered lens. Its mastery-based learning model and culturally responsive sustaining education practices reinforce this commitment by ensuring students have multiple pathways to demonstrate mastery, pursue interests, and engage in authentic, real-world learning. As an alternative school, their focus on improving schoolwide systems reflects a willingness to rethink traditional structures and replace them with flexible, supportive ones that foster agency, relevance, and belonging. Their work to deepen a schoolwide equity stance shows a clear dedication to creating a community where every student’s identity, lived experience, and cultural background are recognized as fundamental to their learning journey."
"111","Latitude High School","Oakland","California",NA,"Students visit over 10 workplaces per year to explore career interests; collaborate with working professionals on Real World Projects; complete internships and student designed businesses; develop portfolios to match with local clients in the arts, multimedia, technology, etc. "
"142","North Edgecombe High School","Tarboro","North Carolina","Edgecombe County Public Schools","The North Phillips School of Innovation (NPSI) draws students and staff from Phillips Middle School and North Edgecombe High School. At NPSI, the work of learning and innovating is rich and busy. Students use the use the design process to study math, English, and science, all while working to understand themselves and their community. The learning is a highly structured experience, but one full of choices."
"172","Rooted School New Orleans","New Orleans","Louisiana","Rooted School New Orleans","Rooted School New Orleans (RSNO) exists to provide students with personal pathways to financial freedom. RSNO does not seek to tell students how they will achieve financial freedom, but rather equips them with the skills options to get there. RSNO teaches students how to learn in an ever-changing world, develop their skills in the most in-demand job sectors and create transformational technology. RSNO does this by providing students to earn an associates degree in high school, as well as a number of industry-recognized credentials that are connected to high-growth, family-sustaining jobs. "
"178","Science and Math Institute","Tacoma","Washington","Tacoma Public Schools","SAMI embodies exactly the kind of innovative, student‑centered learning environments that the Canopy Project seeks to highlight. SAMI’s fully integrated, place‑based STEM model—rooted in 702 acres of old‑growth forest, waterfront access in Point Defiance Park, and in partnership with the Point Defiance Zoo & Aquarium and Parks Tacoma—transforms traditional schooling into a dynamic ecosystem of inquiry, service, and community connection. The school’s six pathways (marine science; marine technology & robotics; computer science; veterinary science & animal life; outdoor education; conservation science) ensure that every student engages in rigorous content, hands‑on learning, and a meaningful internship that connects to post‑high readiness. SAMI’s commitment to equity, full inclusion of all learners, student leadership, and mentor‑group continuity exemplifies an environment built for all students, especially those historically under‑served. Their interdisciplinary miniterm service projects, authentic community partnerships, and pathways of real‑world relevance reflect Canopy’s emphasis on reimagined, empowering learning environments that are responsive to students’ strengths, aspirations, and communities. Nomination of SAMI would spotlight a school that is not only preparing graduates for college and career, but also cultivating curiosity, collaboration, empathy, and agency in learners ready to thrive in a complex world."
"180","SEEQS: the School for Examining Essential Questions of Sustainability","Honolulu","Hawaii",NA,"SEEQS (the School for Examining Essential Questions of Sustainability) is an innovative public charter school in Honolulu, Hawai’i, that emphasizes relevance and agency grounded in environmental and social engagement. Through their Essential Questions of Sustainability (EQS) model, students engage in real-world learning experiences, applying their knowledge to examine complex sustainability issues that impact their daily lives. SEEQS courses are designed around essential questions without simple answers (e.g., how can tourism honor and sustain Hawaii’s land, people, and culture?) and kick off with EQS Camp, a time where students build background knowledge through field studies, expert interviews, and experiences with community partners. No other classes are held during this time, allowing learners to truly immerse themselves in the essential question that interests them most. Over the course of the semester, students continue to investigate the essential question through student-driven projects, which vary from class to class and are shaped by a shared vision between students and teachers. These interdisciplinary projects are highly rigorous, integrating core subjects like English, math, science, social studies, and the arts. They require students to use a range of thinking skills to make meaning of complex ideas. At the end of the semester, students showcase their learning through public project exhibitions that are open to the community. Both essential question courses and exhibitions draw upon expertise from beyond the walls of the physical school building, embracing relevant learning and fostering student agency."
"190","The Social Justice School","Washington","District of Columbia","The Social Justice School","The Social Justice School is a 5th - 8th grade school in Washington, D.C.. Their mission is to catalyze an integrated community of middle-school learners to be scholar-activists who are designers of a more just world. In order to design a more just world, students require an education that embraces and lives out a set of core beliefs about what it means to be human. Their academic model is rooted in social justice, built around culturally-responsive learning, active learning through expeditionary learning, steady community through Crew, and empowerment through design thinking projects.  On recently released 2023-24 PARCC results, SJS shows consistent and significant academic growth, particularly for Black students, Latino/a students, students with disabilities,and multilingual students. SJS scholars are 12% more likely to experience economic hardship than the average D.C. student,yet are equal or surpass their D.C. peers in ELA and Math. "
