Variable name,Equivalent 2024-25,Corresponding question,Format,Disclosure,Var Type,Notes
school_id,school_id,Canopy ID,,Public facing,Numeric,
nces_id,nces_id,NCES ID,,Public facing,Numeric,
school_name,school_name,School name:,,Public facing,Open response,
school_city,school_city,School city:,,Public facing,Open response,
school_address,school_address,School address:,,Public facing,Open response,
school_state,school_state,School state:,,Public facing,Categorical,
school_district,school_district,School district:,,Public facing,Open response,
website,website,School website:,,Public facing,Open response,
school_type,school_type,Which option best describes your school or learning environment?,,Public facing,Categorical,
school_desc_homeschool,school_desc_homeschool,Do any of the following descriptors apply to your school or learning environment?,1 if Homeschooling cooperative selected; else 0,Public facing,Binary,
school_desc_hybrid,school_desc_hybrid,Do any of the following descriptors apply to your school or learning environment?,1 if Hybrid school selected; else 0,Public facing,Binary,
school_desc_micro,school_desc_micro,Do any of the following descriptors apply to your school or learning environment?,1 if Microschool selected; else 0,Public facing,Binary,
school_desc_part_time,school_desc_part_time,Do any of the following descriptors apply to your school or learning environment?,1 if Part time school selected; else 0,Public facing,Binary,
school_desc_sws,school_desc_sws,Do any of the following descriptors apply to your school or learning environment?,1 if School-within-school selected; else 0,Public facing,Binary,
school_desc_virtual,school_desc_virtual,Do any of the following descriptors apply to your school or learning environment?,1 if Virtual school selected; else 0,Public facing,Binary,
school_desc_other,school_desc_other,Do any of the following descriptors apply to your school or learning environment?,1 if Other selected; else 0,Public facing,Binary,
school_desc_other_text,school_desc_other_text,Do any of the following descriptors apply to your school or learning environment?,Text provided to specify Other,Public facing,Open response,
school_enrollment,school_enrollment,How many learners attend [SCHOOL NAME]?,,Public facing,Numeric,
grades_pk,grades_pk,Which grades does your learning environment serve?,1 if Pre-Kindergarten selected; else 0,Public facing,Binary,
grades_k,grades_k,Which grades does your learning environment serve?,1 if Kindergarten selected; else 0,Public facing,Binary,
grades_1,grades_1,Which grades does your learning environment serve?,1 if 1st grade selected; else 0,Public facing,Binary,
grades_2,grades_2,Which grades does your learning environment serve?,1 if 2nd grade selected; else 0,Public facing,Binary,
grades_3,grades_3,Which grades does your learning environment serve?,1 if 3rd grade selected; else 0,Public facing,Binary,
grades_4,grades_4,Which grades does your learning environment serve?,1 if 4th grade selected; else 0,Public facing,Binary,
grades_5,grades_5,Which grades does your learning environment serve?,1 if 5th grade selected; else 0,Public facing,Binary,
grades_6,grades_6,Which grades does your learning environment serve?,1 if 6th grade selected; else 0,Public facing,Binary,
grades_7,grades_7,Which grades does your learning environment serve?,1 if 7th grade selected; else 0,Public facing,Binary,
grades_8,grades_8,Which grades does your learning environment serve?,1 if 8th grade selected; else 0,Public facing,Binary,
grades_9,grades_9,Which grades does your learning environment serve?,1 if 9th grade selected; else 0,Public facing,Binary,
grades_10,grades_10,Which grades does your learning environment serve?,1 if 10th grade selected; else 0,Public facing,Binary,
grades_11,grades_11,Which grades does your learning environment serve?,1 if 11th grade selected; else 0,Public facing,Binary,
grades_12,grades_12,Which grades does your learning environment serve?,1 if 12th grade selected; else 0,Public facing,Binary,
grades_past_12,grades_past_12,Which grades does your learning environment serve?,1 if Past 12th grade selected; else 0,Public facing,Binary,
grades_other,grades_other,Which grades does your learning environment serve?,1 if Other selected; else 0,Public facing,Binary,
grades_other_text,grades_other_text,Which grades does your learning environment serve?,Text provided to specify Other,Public facing,Open response,
pct_aian,pct_aian,What is the racial/ethnic demographic breakdown of your learners?,Number provided for American Indian or Alaska Native,Public facing,Numeric,
pct_asian,pct_asian,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Asian,Public facing,Numeric,
pct_black,pct_black,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Black or African American,Public facing,Numeric,
pct_latinx,pct_latinx,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Latinx/e or Hispanic,Public facing,Numeric,
pct_nhpi,pct_nhpi,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Native Hawaiian or Other Pacific Islander,Public facing,Numeric,
pct_multiple,pct_multiple,What is the racial/ethnic demographic breakdown of your learners?,Number provided for Two or more races,Public facing,Numeric,
pct_white,pct_white,What is the racial/ethnic demographic breakdown of your learners?,"Number provided for White, non-Latinx/e or Hispanic",Public facing,Numeric,
pct_race_na,pct_race_na,What is the racial/ethnic demographic breakdown of your learners?,1 if We do not collect this data selected; else 0,Public facing,Binary,
locale_rural,locale_rural,Which geography describes the student population your school serves?,1 if Rural selected; else 0,Public facing,Binary,
locale_urban,locale_urban,Which geography describes the student population your school serves?,1 if Urban selected; else 0,Public facing,Binary,
locale_suburban,locale_suburban,Which geography describes the student population your school serves?,1 if Suburban selected; else 0,Public facing,Binary,
locale_other,locale_other,Which geography describes the student population your school serves?,1 if Other selected; else 0,Public facing,Binary,
locale_other_text,locale_other_text,Which geography describes the student population your school serves?,Text provided to specify Other,Public facing,Open response,
pct_ell,pct_ell,What percentage of your learners are classified as English learners?,,Public facing,Numeric,
pct_ell_na,pct_ell_na,What percentage of your learners are classified as English learners?,1 if We do not collect this data selected; else 0,Public facing,Binary,
pct_frpl,pct_frpl,What percentage of your learners are eligible for free and reduced lunch or are considered economically disadvantaged?,,Public facing,Numeric,
pct_frpl_na,pct_frpl_na,What percentage of your learners are eligible for free and reduced lunch or are considered economically disadvantaged?,1 if We do not collect this data selected; else 0,Public facing,Binary,
pct_swd,pct_swd,What percentage of your learners have a disability?,,Public facing,Numeric,
pct_swd_na,pct_swd_na,What percentage of your learners have a disability?,1 if We do not collect this data selected; else 0,Public facing,Binary,
leadership_diversity,leadership_diversity,How racially and/or ethnically diverse is your learning environment’s leadership team? ,,Internal,Categorical,
teaching_diversity,teaching_diversity,How racially and/or ethnically diverse is your learning environment’s teaching staff?,,Internal,Categorical,
student_experience,student_experience,How would you describe the student experience that the learning environment is designed to create?,,Public facing,Open response,
