Field,Variable Description,Corresponding Survey Question,Response Types,Source
nominator,The organization(s) which nominated the school or learning environment,What organization do you work for or represent?,Open response,Nomination survey
school_id,Canopy school ID number assigned by the Canopy project (metadata),Canopy ID,Internally generated unique identifier,Canopy created variable
nces_id,"Corresponding NCES ID, if applicable, used to collect extant data.",NCES ID,,NCES
school_name,Name of the school,School name:,Open response,Externally generated unique identifier
school_city,Street address where the school is located,School city:,Open response,School survey
school_address,City where the school is located,School address:,Open response,School survey
school_state,State where the school is located,School state:,Open response,School survey
school_district,School district,School district:,Open response,School survey
website,School website,School website:,Open response,School survey
contact_name,Public contact's name for the learning environment.,Please share a public contact for your school.,Open response,School survey
contact_role,Public contact's role at the learning environment.,Please share a public contact for your school.,Open response,School survey
contact_email,Public contact's emaill address at the learning environment.,Please share a public contact for your school.,Open response,School survey
school_type,Describes the school type,Which option best describes your school or learning environment?,"Public district school
Public charter school
Independent (private) school",School survey
school_desc_homeschool,Indicates whether the school identifies as a home school,Do any of the following descriptors apply to your school or learning environment?,1 if Homeschooling cooperative selected; else 0,School survey
school_desc_hybrid,Indicates whether the school identifies as a hybrid school,Do any of the following descriptors apply to your school or learning environment?,1 if Hybrid school selected; else 0,School survey
school_desc_micro,Indicates whether the school identifies as a microschool,Do any of the following descriptors apply to your school or learning environment?,1 if Microschool selected; else 0,School survey
school_desc_part_time,Indicates whether the school identifies as a part time school,Do any of the following descriptors apply to your school or learning environment?,1 if Part time school selected; else 0,School survey
school_desc_sws,Indicates whether the school identifies as a school within a school,Do any of the following descriptors apply to your school or learning environment?,1 if School-within-school selected; else 0,School survey
school_desc_virtual,Indicates whether the school identifies as a virtual school,Do any of the following descriptors apply to your school or learning environment?,1 if Virtual school selected; else 0,School survey
school_desc_other,Indicates whether the school chose to self-identify an additional school descriptor,Do any of the following descriptors apply to your school or learning environment?,1 if Other selected; else 0,School survey
school_desc_other_text,Self-identified school descriptor,Do any of the following descriptors apply to your school or learning environment?,Text provided to specify Other,School survey
school_locale,A combined variable with an exclusive designation for the geographic area the learning environment serves.,,"Urban
Suburban
Rural
Multiple",Canopy created variable
locale_urban,Indicates if the learning environment serves students from urban geographic areas.,Which geography describes the student population your school serves?,1 if Urban selected; else 0,School survey
locale_suburban,Indicates if the learning environment serves students from suburban geographic areas.,Which geography describes the student population your school serves?,1 if Suburban selected; else 0,School survey
locale_rural,Indicates if the learning environment serves students from rural geographic areas.,Which geography describes the student population your school serves?,1 if Rural selected; else 0,School survey
locale_multiple,Indicates if the learning environment serves students from multiple types of geographic areas.,,"1 if a combination Urban, Rural, and/or Suburban selected; else 0",Canopy created variable
locale_other,"Indicates if the learning environment serves students from geographic areas that are not rural, suburban, urban, or a combination of geographic areas.",Which geography describes the student population your school serves?,1 if Other selected; else 0,School survey
locale_other_text,Self-reported geographic area the learning environment serves.,Which geography describes the student population your school serves?,Text provided to specify Other,School survey
school_enrollment,"Total number of students the learning environment serves. Number describes a mix of self-reported and NCES data as leaders are asked to verify the number provided by NCES, if applicable.",How many learners attend [SCHOOL NAME]?,Numeric,School survey
grades_pk,Indicates whether the learning environment offers pre-kindergarten services.,Which grades does your learning environment serve?,1 if Pre-Kindergarten selected; else 0,School survey
grades_k,Indicates whether the learning environment serves kindergarten or equivalent grade.,Which grades does your learning environment serve?,1 if Kindergarten selected; else 0,School survey
grades_1,Indicates whether the learning environment serves first grade or equivalent.,Which grades does your learning environment serve?,1 if 1st grade selected; else 0,School survey
grades_2,Indicates whether the learning environment serves second grade or equivalent.,Which grades does your learning environment serve?,1 if 2nd grade selected; else 0,School survey
grades_3,Indicates whether the learning environment serves third grade or equivalent.,Which grades does your learning environment serve?,1 if 3rd grade selected; else 0,School survey
grades_4,Indicates whether the learning environment serves fourth grade or equivalent.,Which grades does your learning environment serve?,1 if 4th grade selected; else 0,School survey
grades_5,Indicates whether the learning environment serves fifth grade or equivalent.,Which grades does your learning environment serve?,1 if 5th grade selected; else 0,School survey
grades_6,Indicates whether the learning environment serves sixth grade or equivalent.,Which grades does your learning environment serve?,1 if 6th grade selected; else 0,School survey
grades_7,Indicates whether the learning environment serves seventh grade or equivalent.,Which grades does your learning environment serve?,1 if 7th grade selected; else 0,School survey
grades_8,Indicates whether the learning environment serves eighth grade or equivalent.,Which grades does your learning environment serve?,1 if 8th grade selected; else 0,School survey
grades_9,Indicates whether the learning environment serves ninth grade or equivalent.,Which grades does your learning environment serve?,1 if 9th grade selected; else 0,School survey
grades_10,Indicates whether the learning environment serves tenth grade or equivalent.,Which grades does your learning environment serve?,1 if 10th grade selected; else 0,School survey
