Nomination ID,SurveyName,Official School Name,District or CMO,School City,School State,Reason for nominating,Canopy School ID,CanopyID (from Official School Name),Portal Publicly disclosable nominator org
Nominator_2024-10__,Nominator_2024-10,,N/A,Washington,District of Columbia,"WLA prepares Black and Brown students from Washington, D.C. to have career-ready tech skills by providing 4 years of Computer Science and weaving AI into its classrooms. The school also preps students to become leaders by integrating students into all facets of school leadership, from Executive Team meetings to Professional Development sessions. ",,,Anonymous
Nominator_2024-10__,Nominator_2024-10,,,Memphis,Tennessee,"The Lab School of Memphis reimagines educational organizations, approaches, systems, and learning environments with a strong emphasis on ensuring equity. 
The Lab School employs a decentralized approach with the establishment of multiple satellite classroom locations, each designed to function within its specific community context. This model reduces barriers to access, allowing for a more equitable distribution of educational resources across diverse geographic locations. Collaborations with entities like Arizona State University enrich the learning experience through advanced resources and expertise and access to dual enrollment opportunities, ensuring that learners from all backgrounds have access to high-quality education and new opportunities.

The Lab School model prioritizes personalized learning paths tailored to the unique needs and interests of each student. This approach helps address individual learning styles and paces, which is crucial for accommodating diverse educational needs and promoting equity. By focusing on mastery and competency rather than traditional grade levels, The Lab School allows students to progress based on their ability to demonstrate understanding and skills. This method ensures that advancement is based on learning and achievement, not just time spent in class, leveling the playing field for students from various backgrounds.

By addressing these fundamental aspects, The Lab School model not only challenges the status quo but actively works towards an educational system where equity is at the forefront. This holistic and innovative approach ensures that all students, irrespective of their background, have the opportunity to thrive in a supportive and empowering educational environment.",,,Anonymous
Nominator_2024-10__,Nominator_2024-10,,Ephrata Area School District,Ephrata,Pennsylvania,"Ephrata has aligned its tools and techniques to a higher target that they call the ""Life Ready Graduate.""  By putting the 4Cs and transferrable skills at the center of their instructional model, they have made sustainable innovation in the way students learn and grow. ",,,
__,,,,,,,,,Anonymous
__,,,,,,,,,Anonymous
Nominator_2024-10__,Nominator_2024-10,,Melissa Bloyd,"Denver, Colorado",Colorado,Robert F. Smith STEAM Academy has create a super innovative school model that is one of one in the United States. They have fused the HBCU concept into a 21st century learning model supporting STEAM and PBL throughout the entire student experience. ,,,
Nominator_2024-10__,Nominator_2024-10,,,Effingham,Illinois,"What stands out about Buckeye Friends School is its unwavering commitment to fostering a student-centered learning environment through its project-based approach. At Buckeye, students are empowered to take ownership of their education by engaging in hands-on, interdisciplinary projects that align with their interests and aspirations. This approach not only cultivates curiosity and critical thinking but also ensures that learning feels relevant and meaningful to each individual student.

Buckeye is also dedicated to advancing equity by creating a supportive and inclusive community where every learner is seen, valued, and respected. The school emphasizes personalized learning paths, ensuring that students with diverse needs, backgrounds, and strengths are provided the tools and resources to thrive. By co-creating classroom rules and visions, like its emphasis on collaboration, responsibility, and shared values, Buckeye actively fosters a sense of belonging and mutual respect.

This unique blend of equity, creativity, and student empowerment stands out as a hallmark of Buckeye Friends School’s innovative educational model.",,,
Nominator_2023-11__,Nominator_2023-11,,Fulton County,Roswell,Georgia,"At FAST we are dedicated to creating life-long autonomous learners. We give our teachers the space to try out new and innovative teaching practices and we all learn together. Our students have the opportunity to engage in critical thinking, collaboration, creative thinking each day through our innovation classes and genius hour programs.",,,
Nominator_2024-10__,Nominator_2024-10,,,Atlanta,Georgia,"The Morgan Oliver School stands out through its commitment to equity by providing inclusive opportunities for all students to thrive. The focus on student-centered learning ensures personalized approaches that meet diverse needs, fostering a supportive and revolutionary educational experience.",,,Anonymous
Nominator_2024-10__,Nominator_2024-10,,International Network for Public Schools,Bronx,New York,"Crotona International High School has advanced equity and student-centered learning through project based and work based learning.  Integrating instruction where students develop their critical thinking, problem solving and independence skills, and the unique experience of internships and opportunities to interact with the world of work, gives value to the students' knowledge and growth as they prepare for their career choices and achieving their full potential.  Crotona has a thorough and well developed college and career connected program  where students engage in work based learning opportunities with aligned college courses and industry partners.  ",,,
Nominator_2021-12_A Revolution in Education_,Nominator_2021-12,,N/A,Raleigh,North Carolina,"Focused on authentic, real-world projects.  Many of them in the community.",,,A Revolution in Education
Nominator_2023-11_Beloved Community_,Nominator_2023-11,,,Lakeland,Florida,"Mobile Classroom Solutions emerged to serve students with disabilities during and after COVID-19 shut downs. The school offers both small group and individual instruction for neurodivergent learners. I am mostly impressed by how the school founder, Ms. Palmer, maintains a high standard of belief in and expectations for her students. When many school environments are abandoning academics and focusing solely on life skills, she is both enriching their minds (with rigorous instruction and academics), as well as their lives (with self-advocacy, self-awareness and self-love).",,,Anonymous
